org,location,nation
Initech Solutions 1,Milan,IT
Wonka Industries 3,Paris,
Wayne Enterprises 6,London,
Globex Industries 8,Madrid,ES
Soylent Foods 11,Amsterdam,NL
Umbrella Logistics 12,Amsterdam,NL
Hooli Technologies 13,Milan,IT
Massive Dynamic 18,London,UK
Globex Industries 21,Berlin,DE
Acme Corporation 23,London,UK
Globex Industries 26,Amsterdam,NL
Acme Corporation 32,Amsterdam,NL
Globex Industries 36,Paris,
Tyrell Group 40,Madrid,
Vehement Capital 44,Paris,FR
Gringotts Bank 48,Berlin,DE
Umbrella Logistics 53,Berlin,DE
Tyrell Group 55,Berlin,DE
Massive Dynamic 56,Paris,FR
Massive Dynamic 59,Berlin,DE
Hooli Technologies 71,Berlin,DE
Aviato Holdings 72,Berlin,
Massive Dynamic 73,Paris,FR
Massive Dynamic 74,London,UK
Tyrell Group 81,Paris,
Vehement Capital 82,Berlin,DE
Tyrell Group 92,Madrid,ES
Soylent Foods 97,Berlin,DE
Umbrella Logistics 100,Berlin,
Wayne Enterprises 107,Madrid,ES
Cyberdyne Systems 110,Milan,IT
Pied Piper 112,Milan,IT
Aviato Holdings 116,Amsterdam,NL
Tyrell Group 129,London,
Vehement Capital 135,Berlin,
Globex Industries 136,Amsterdam,NL
Umbrella Logistics 137,Paris,FR
Aviato Holdings 141,London,UK
Wonka Industries 145,Amsterdam,NL
Vehement Capital 148,Paris,FR
Massive Dynamic 157,Berlin,DE
Gringotts Bank 161,Paris,FR
Aviato Holdings 165,London,UK
Acme Corporation 166,Amsterdam,NL
Initech Solutions 167,Milan,IT
Tyrell Group 171,Paris,FR
Cyberdyne Systems 173,Milan,
Stark Manufacturing 176,Amsterdam,NL
Cyberdyne Systems 193,Berlin,
Aviato Holdings 197,Madrid,ES
