source,company,client_name,org,entity_name,ville,location,town,pays,nation,country_code,headcount,staff,revenue,currency
ERP,Umbrella Logistics 0 Ltd,,,,London,,,United Kingdom,,,2303,,12600000,EUR
ERP,Initech Solutions 1,,,,Milan,,,Italy,,,3506,,1700000,EUR
CRM,,Initech Solutions 1,,,,Milan,,,IT,,3507,,,
API,,,Initech Solutions 1,,,Milan,,,IT,,,,,
ERP,Massive Dynamic 2,,,,Berlin,,,Germany,,,4877,,14300000,EUR
ERP,Wonka Industries 3 Inc,,,,Paris,,,France,,,1323,,11100000,EUR
CRM,,Wonka Industrise 3 Inc,,,,Paris,,,FR,,1324,,,
API,,,Wonka Industries 3,,,Paris,,,,,,,,
ERP,Umbrella Logistics 4 Inc,,,,Berlin,,,Germany,,,695,,28300000,GBP
ERP,Cyberdyne Systems 5,,,,Milan,,,Italy,,,1625,,36100000,EUR
ERP,Wayne Enterprises 6,,,,London,,,United Kingdom,,,1957,,44400000,USD
CRM,,Wayne Enterprises 6 Inc,,,,London,,,UK,,1955,,,
API,,,Wayne Enterprises 6,,,London,,,,,,,,
ERP,Initech Solutions 7 Ltd,,,,Milan,,,Italy,,,1451,,27400000,EUR
CRM,,Initech Solutions 7 GmbH,,,,Milan,,,IT,,1449,,,
ERP,Globex Industries 8 Inc,,,,Madrid,,,Spain,,,312,,41300000,USD
CRM,,Globex Industries 8 GmbH,,,,Madrid,,,ES,,314,,,
API,,,Globex Industries 8,,,Madrid,,,ES,,,,,
ERP,Gringotts Bank 9 Ltd,,,,Madrid,,,Spain,,,2219,,7200000,GBP
CRM,,Gringotts Bank 9 GmbH,,,,Madrid,,,ES,,2219,,,
ERP,Massive Dynamic 10,,,,Madrid,,,Spain,,,4224,,25300000,EUR
ERP,Soylent Foods 11 SA,,,,Amsterdam,,,Netherlands,,,1360,,40600000,GBP
CRM,,Soylent Foods 11 SA,,,,Amsterdam,,,NL,,1361,,,
API,,,Soylent Foods 11,,,Amsterdam,,,NL,,,,,
ERP,Umbrella Logistics 12 Inc,,,,Amsterdam,,,Netherlands,,,4448,,38500000,GBP
CRM,,Umbrella Logistics 12 Ltd,,,,Amsterdam,,,NL,,4448,,,
API,,,Umbrella Logistics 12,,,Amsterdam,,,NL,,,,,
ERP,Hooli Technologies 13 Inc,,,,Milan,,,Italy,,,921,,44600000,GBP
CRM,,Hooli Technologies 13 Inc,,,,Milan,,,IT,,924,,,
API,,,Hooli Technologies 13,,,Milan,,,IT,,,,,
ERP,Acme Corporation 14,,,,Milan,,,Italy,,,2705,,25100000,EUR
ERP,Wayne Enterprises 15 GmbH,,,,Madrid,,,Spain,,,524,,12400000,EUR
CRM,,Wayne Enterprises 15,,,,Madrid,,,ES,,527,,,
LEGACY,,,,WAYNE ENTERPRISES 15,,,Madrid,,,ES,,524,,
ERP,Tyrell Group 16 GmbH,,,,Milan,,,Italy,,,1402,,13600000,GBP
CRM,,Tyrell Group 16 GmbH,,,,Milan,,,IT,,1405,,,
LEGACY,,,,TYRELL GROUP 16,,,Milan,,,IT,,1402,,
ERP,Wayne Enterprises 17 GmbH,,,,Berlin,,,Germany,,,3109,,22500000,USD
CRM,,Wayne Enterprises 17 Inc,,,,Berlin,,,DE,,3106,,,
LEGACY,,,,WAYNE ENTERPRISES 17,,,Berlin,,,DE,,3109,,
ERP,Massive Dynamic 18,,,,London,,,United Kingdom,,,631,,36300000,EUR
CRM,,Massiv eDynamic 18,,,,London,,,UK,,632,,,
API,,,Massive Dynamic 18,,,London,,,UK,,,,,
LEGACY,,,,MASSIVE DYNAMIC 18,,,London,,,UK,,631,,
ERP,Soylent Foods 19 SA,,,,Amsterdam,,,Netherlands,,,4727,,29600000,EUR
ERP,Aviato Holdings 20 SA,,,,Madrid,,,Spain,,,822,,5000000,USD
CRM,,Aviato Holdings 20,,,,Madrid,,,ES,,824,,,
ERP,Globex Industries 21,,,,Berlin,,,Germany,,,2829,,41000000,EUR
CRM,,Globex Industries 21 Ltd,,,,Berlin,,,DE,,2829,,,
API,,,Globex Industries 21,,,Berlin,,,DE,,,,,
ERP,Initech Solutions 22,,,,Berlin,,,Germany,,,4558,,5100000,GBP
ERP,Acme Corporation 23 SA,,,,London,,,United Kingdom,,,1986,,8600000,USD
CRM,,Acme Corporation 23,,,,London,,,UK,,1984,,,
API,,,Acme Corporation 23,,,London,,,UK,,,,,
