client_name,location,nation,headcount
Initech Solutions 1,Milan,IT,3507
Wonka Industrise 3 Inc,Paris,FR,1324
Wayne Enterprises 6 Inc,London,UK,1955
Initech Solutions 7 GmbH,Milan,IT,1449
Globex Industries 8 GmbH,Madrid,ES,314
Gringotts Bank 9 GmbH,Madrid,ES,2219
Soylent Foods 11 SA,Amsterdam,NL,1361
Umbrella Logistics 12 Ltd,Amsterdam,NL,4448
Hooli Technologies 13 Inc,Milan,IT,924
Wayne Enterprises 15,Madrid,ES,527
Tyrell Group 16 GmbH,Milan,IT,1405
Wayne Enterprises 17 Inc,Berlin,DE,3106
Massiv eDynamic 18,London,UK,632
Aviato Holdings 20,Madrid,ES,824
Globex Industries 21 Ltd,Berlin,DE,2829
Acme Corporation 23,London,UK,1984
Globex Industries 26 GmbH,Amsterdam,NL,2617
Initech Solutions 27 Ltd,Milan,IT,607
Vehement Capital 29 SA,Amsterdam,NL,2622
Acme Corporation 30 Inc,Berlin,DE,4659
Acme Corporation 32 GmbH,Amsterdam,NL,4591
Globex Industries 34 Inc,London,UK,3517
Globex Industries 36,Paris,FR,4820
Tyrell Group 40 Ltd,Madrid,ES,1682
Wonka Industries 42,London,UK,991
Wonka Industrise 43,Berlin,DE,4240
Vehement Capital 44 Inc,Paris,FR,3584
Gringotts Bank 48 Ltd,Berlin,DE,3674
Umbrella Logistics 53,Berlin,DE,1842
Tyrell Group 55 SA,Berlin,DE,2175
Massive Dynamic 56 Ltd,Paris,FR,2803
Acme Corporation 58 SA,Milan,IT,3167
Massive Dynamic 59 SA,Berlin,DE,1849
Soylent Foods 61 Inc,Berlin,DE,1541
Aviato Holdings 62 Inc,Paris,FR,718
Globxe Industries 63 GmbH,London,UK,2073
Cyberdyne ySstems 64 GmbH,Madrid,ES,990
Cyberdyne Systems 67 SA,Milan,IT,3562
Cyberdyne Systems 68 Inc,Amsterdam,NL,3817
Tyrell Group 69,Berlin,DE,3617
Hooli Technologies 71 Inc,Berlin,DE,1788
Aviato Holdings 72 SA,Berlin,DE,4601
Massive Dynamic 73 GmbH,Paris,FR,4813
Massive Dynamic 74 Ltd,London,UK,1625
WayneE nterprises 75 Inc,London,UK,1637
Soylent Foods 76 Inc,Amsterdam,NL,4069
