company,ville,pays,headcount,revenue,currency
Umbrella Logistics 0 Ltd,London,United Kingdom,2303,12600000,EUR
Initech Solutions 1,Milan,Italy,3506,1700000,EUR
Massive Dynamic 2,Berlin,Germany,4877,14300000,EUR
Wonka Industries 3 Inc,Paris,France,1323,11100000,EUR
Umbrella Logistics 4 Inc,Berlin,Germany,695,28300000,GBP
Cyberdyne Systems 5,Milan,Italy,1625,36100000,EUR
Wayne Enterprises 6,London,United Kingdom,1957,44400000,USD
Initech Solutions 7 Ltd,Milan,Italy,1451,27400000,EUR
Globex Industries 8 Inc,Madrid,Spain,312,41300000,USD
Gringotts Bank 9 Ltd,Madrid,Spain,2219,7200000,GBP
Massive Dynamic 10,Madrid,Spain,4224,25300000,EUR
Soylent Foods 11 SA,Amsterdam,Netherlands,1360,40600000,GBP
Umbrella Logistics 12 Inc,Amsterdam,Netherlands,4448,38500000,GBP
Hooli Technologies 13 Inc,Milan,Italy,921,44600000,GBP
Acme Corporation 14,Milan,Italy,2705,25100000,EUR
Wayne Enterprises 15 GmbH,Madrid,Spain,524,12400000,EUR
Tyrell Group 16 GmbH,Milan,Italy,1402,13600000,GBP
Wayne Enterprises 17 GmbH,Berlin,Germany,3109,22500000,USD
Massive Dynamic 18,London,United Kingdom,631,36300000,EUR
Soylent Foods 19 SA,Amsterdam,Netherlands,4727,29600000,EUR
Aviato Holdings 20 SA,Madrid,Spain,822,5000000,USD
Globex Industries 21,Berlin,Germany,2829,41000000,EUR
Initech Solutions 22,Berlin,Germany,4558,5100000,GBP
Acme Corporation 23 SA,London,United Kingdom,1986,8600000,USD
Gringotts Bank 24 GmbH,Paris,France,3515,35700000,GBP
Soylent Foods 25,Madrid,Spain,2480,11200000,GBP
Globex Industries 26,Amsterdam,Netherlands,2619,3000000,GBP
Initech Solutions 27 Ltd,Milan,Italy,606,34600000,USD
Aviato Holdings 28 GmbH,Amsterdam,Netherlands,4831,29000000,USD
Vehement Capital 29 Inc,Amsterdam,Netherlands,2623,12300000,USD
Acme Corporation 30,Berlin,Germany,4662,5200000,GBP
Hooli Technologies 31 Inc,Berlin,Germany,4500,36100000,GBP
Acme Corporation 32,Amsterdam,Netherlands,4593,15400000,EUR
Vehement Capital 33 SA,Amsterdam,Netherlands,2212,25900000,USD
Globex Industries 34 Inc,London,United Kingdom,3519,42500000,EUR
Aviato Holdings 35,Milan,Italy,129,5800000,GBP
Globex Industries 36 Ltd,Paris,France,4821,28300000,USD
Aviato Holdings 37 Ltd,Milan,Italy,1316,47400000,EUR
Hooli Technologies 38 Inc,Berlin,Germany,253,9200000,USD
Massive Dynamic 39,Paris,France,1354,40400000,USD
Tyrell Group 40 SA,Madrid,Spain,1684,41900000,USD
Initech Solutions 41 GmbH,Paris,France,2926,32900000,USD
