entity_name,town,country_code,staff
WAYNE ENTERPRISES 15,Madrid,ES,524
TYRELL GROUP 16,Milan,IT,1402
WAYNE ENTERPRISES 17,Berlin,DE,3109
MASSIVE DYNAMIC 18,London,UK,631
GLOBEX INDUSTRIES 36,Paris,FR,4821
MASSIVE DYNAMIC 59,Berlin,DE,1847
TYRELL GROUP 69,Berlin,DE,3618
HOOLI TECHNOLOGIES 71,Berlin,DE,1787
TYRELL GROUP 89,Amsterdam,NL,3671
SOYLENT FOODS 96,Berlin,DE,353
HOOLI TECHNOLOGIES 104,London,UK,3668
WAYNE ENTERPRISES 107,Madrid,ES,2936
CYBERDYNE SYSTEMS 117,London,UK,3059
WAYNE ENTERPRISES 134,Paris,FR,2925
VEHEMENT CAPITAL 135,Berlin,DE,3489
UMBRELLA LOGISTICS 137,Paris,FR,4908
SOYLENT FOODS 138,Paris,FR,2421
AVIATO HOLDINGS 141,London,UK,2043
VEHEMENT CAPITAL 148,Paris,FR,3946
UMBRELLA LOGISTICS 160,Paris,FR,737
GRINGOTTS BANK 161,Paris,FR,268
SOYLENT FOODS 169,London,UK,2936
CYBERDYNE SYSTEMS 178,Berlin,DE,679
MASSIVE DYNAMIC 183,Berlin,DE,265
HOOLI TECHNOLOGIES 186,Madrid,ES,3594
WAYNE ENTERPRISES 187,London,UK,2102
CYBERDYNE SYSTEMS 193,Berlin,DE,1121
AVIATO HOLDINGS 197,Madrid,ES,2216
